"","X","x","y","Labels","Energy","Magnetization","Temp"
"1195201",1195200,-18.2601645099711,0.479022659690779,0,360,0.945,1.9
"1195202",1195201,18.6597305387027,-0.809896971828714,1,338,0.9,1.9
"1195203",1195202,19.2593968704292,-0.497975480938584,1,350,0.93,1.9
"1195204",1195203,18.7595564693899,-1.10144712647499,1,352,0.905,1.9
"1195205",1195204,-18.2606326039374,-0.357405020665977,0,372,0.945,1.91166666666667
"1195206",1195205,18.6587492350557,-0.0574285073643917,1,338,0.9,1.91166666666667
"1195207",1195206,19.0593249046103,-1.49312947461771,1,352,0.92,1.91166666666667
"1195208",1195207,19.3590695766682,-0.126944711684153,1,358,0.935,1.91166666666667
"1195209",1195208,-16.0609582159447,-1.42962359175799,0,316,0.835,1.92333333333333
"1195210",1195209,19.7595123466332,0.158777535947564,1,368,0.955,1.92333333333333
"1195211",1195210,-18.4609718560016,0.201794877910707,0,374,0.955,1.92333333333333
"1195212",1195211,-18.1598274084023,-0.361514096144336,0,358,0.94,1.92333333333333
"1195213",1195212,-17.7598678472183,0.0221871523327033,0,348,0.92,1.935
"1195214",1195213,19.6600844061716,0.188985903348336,1,364,0.95,1.935
"1195215",1195214,18.3583960777758,-0.712569058675163,1,332,0.885,1.935
"1195216",1195215,-17.8593656660252,0.134295225888561,0,354,0.925,1.935
"1195217",1195216,-17.7603234743914,-0.627444465719663,0,348,0.92,1.94666666666667
"1195218",1195217,19.4601907691713,0.307801548315373,1,358,0.94,1.94666666666667
"1195219",1195218,19.3589245569445,-0.495941533953632,1,362,0.935,1.94666666666667
"1195220",1195219,-18.0605001067952,-0.415777975445599,0,358,0.935,1.94666666666667
"1195221",1195220,-18.9605548492594,-0.0949860939343127,0,384,0.98,1.95833333333333
"1195222",1195221,19.9606038525879,0.237506162603593,1,376,0.965,1.95833333333333
"1195223",1195222,19.4605365566712,0.812269092665938,1,362,0.94,1.95833333333333
"1195224",1195223,-18.2599560815307,0.208252678090593,0,358,0.945,1.95833333333333
"1195225",1195224,-18.0609805538945,-0.680981312801489,0,352,0.935,1.97
"1195226",1195225,19.5591097700816,-0.609221461509102,1,360,0.945,1.97
"1195227",1195226,-18.3602394842877,0.534712747240685,0,364,0.95,1.97
"1195228",1195227,-18.6600940240196,0.643182526335718,0,376,0.965,1.97
"1195229",1195228,-17.3598628335001,-0.0199671449583603,0,344,0.9,1.98166666666667
"1195230",1195229,19.1607688694129,0.977164306725774,1,354,0.925,1.98166666666667
"1195231",1195230,18.3590673128356,0.24243661816714,1,332,0.885,1.98166666666667
"1195232",1195231,19.7597424017076,-0.20501629233407,1,368,0.955,1.98166666666667
"1195233",1195232,-16.7590631105429,0.5105029450824,0,330,0.87,1.99333333333333
"1195234",1195233,19.7590950145984,-0.447921707597805,1,374,0.955,1.99333333333333
"1195235",1195234,-18.6601842443678,-0.207271535317369,0,376,0.965,1.99333333333333
"1195236",1195235,-16.9593414718388,0.0166619972623449,0,324,0.88,1.99333333333333
"1195237",1195236,-17.7609440617345,-0.927770548006759,0,358,0.92,2.005
"1195238",1195237,18.8599702145865,0.737416819418583,1,342,0.91,2.005
"1195239",1195238,-16.6595893731513,-1.35036110234656,0,338,0.865,2.005
"1195240",1195239,19.6590890447712,-0.528285137988487,1,362,0.95,2.005
"1195241",1195240,-16.059102091429,0.968216926732024,0,318,0.835,2.01666666666667
"1195242",1195241,19.7598563174031,0.0126068607102908,1,374,0.955,2.01666666666667
"1195243",1195242,-17.6610566444315,-0.368065925091313,0,352,0.915,2.01666666666667
"1195244",1195243,19.3598280717264,-0.415029905908269,1,360,0.935,2.01666666666667
"1195245",1195244,-18.0597158210463,0.158416658487626,0,358,0.935,2.02833333333333
"1195246",1195245,18.9589256773789,0.182741007052046,1,346,0.915,2.02833333333333
"1195247",1195246,18.5602817694024,1.52173756949939,1,336,0.895,2.02833333333333
"1195248",1195247,19.5600087933187,0.538518198715871,1,364,0.945,2.02833333333333
"1195249",1195248,-17.1589050068679,0.699402481204534,0,336,0.89,2.04
"1195250",1195249,19.1582264874738,-0.339753188582795,1,352,0.925,2.04
"1195251",1195250,-16.5585675129952,1.6264331453313,0,332,0.86,2.04
"1195252",1195251,-18.3599636519475,0.078213742644461,0,364,0.95,2.04
"1195253",1195252,-17.6599977718745,-0.275152319490729,0,358,0.915,2.05166666666667
"1195254",1195253,19.3599685228047,0.574504889976626,1,354,0.935,2.05166666666667
