"","X","x","y","Energy","Magnetization","Temp","Labels"
"1",0,-35.3039408288413,-0.557463708569341,1484,0.95875,1.9,0
"1442",1441,39.730011620318,-0.528191532085104,1414,0.91125,1.9,1
"2883",2882,-33.5996118134718,-1.50450236130842,1410,0.91625,1.9,0
"4324",4323,-34.752636262191,-0.370047017629704,1456,0.945,1.9,0
"6001",6000,-32.745937552578,0.532750085896106,1366,0.895,1.9,0
"7442",7441,41.2853653713264,-0.2333951094349,1464,0.95,1.9,1
"8883",8882,-35.3533409469183,0.713208326712333,1500,0.96,1.9,0
"10324",10323,-34.7020985761932,0.991065107154895,1466,0.94375,1.9,0
"12001",12000,-34.8028474125857,0.654002141435026,1460,0.94625,1.9,0
"13442",13441,41.3348747374389,-0.157094484040327,1472,0.95125,1.9,1
"14883",14882,-34.2495227138395,-0.691577499257968,1434,0.9325,1.9,0
"16324",16323,-34.7519185705508,-0.49527039605443,1448,0.945,1.9,0
"18001",18000,-34.6519266469384,-0.767857298061722,1444,0.9425,1.9,0
"19442",19441,40.6825268862735,-1.14690329323486,1444,0.935,1.9,1
"20883",20882,-34.3995476707263,0.0909596205031917,1434,0.93625,1.9,0
"22324",22323,-34.0993761811539,0.202654693457801,1428,0.92875,1.9,0
"24001",24000,-34.9016563991811,0.0771474761616903,1474,0.94875,1.9,0
"25442",25441,41.2356741318394,-0.268070881619168,1464,0.94875,1.9,1
"26883",26882,-34.6002451434222,-0.0678742449020963,1456,0.94125,1.9,0
"28324",28323,-34.8012967223449,-0.73557270473366,1462,0.94625,1.9,0
"30001",30000,-34.5012278824151,0.200509083329042,1436,0.93875,1.9,0
"31442",31441,40.9346945470394,-0.0642328514103842,1464,0.94125,1.9,1
"32883",32882,-33.8495652722314,0.351095551298494,1416,0.9225,1.9,0
"34324",34323,-33.8001994788177,0.0543449580392473,1416,0.92125,1.9,0
"36001",36000,-34.1013392064475,-0.88166057529585,1436,0.92875,1.9,0
"37442",37441,40.332307301778,-0.293494823598975,1422,0.92625,1.9,1
"38883",38882,-34.6516154323559,0.034819182786536,1454,0.9425,1.9,0
"40324",40323,-33.7479971521726,-0.0527165096963073,1428,0.92,1.9,0
"42001",42000,-33.7996610661786,-0.448102022209031,1430,0.92125,1.9,0
"43442",43441,41.4357898116601,0.244707815882756,1486,0.95375,1.9,1
"44883",44882,-35.7541000033301,0.214033885999858,1508,0.97,1.9,0
"46324",46323,-34.450968366761,0.226005470981265,1438,0.9375,1.9,0
"48001",48000,-34.2505839220532,0.229836992541205,1422,0.9325,1.9,0
"49442",49441,40.2809151293609,-1.24327769083253,1424,0.925,1.9,1
"50883",50882,-35.3046976826182,-0.0573892838969607,1498,0.95875,1.9,0
"52324",52323,-33.7505291312077,-1.49086326810274,1394,0.92,1.9,0
"54001",54000,-34.0476274137033,0.469584993845725,1428,0.9275,1.9,0
