,Unnamed: 0,X,x,y,Labels,Energy,Magnetization,Temp,Min_distance
0,1197601,1197600,-18.3608454292134,0.0643696674210152,0,364,0.95,1.9,5.702892983994778
1,1197602,1197601,18.2604964991506,1.2596632036125601,1,342,0.88,1.9,4.9050860794280124
2,1197603,1197602,19.8600603098554,0.506297747357034,1,370,0.96,1.9,5.719076235344999
3,1197604,1197603,19.8591636209015,0.12347433247869302,1,372,0.96,1.9,5.7353290636207
4,1197605,1197604,-18.5597919201767,0.567039311151184,0,370,0.96,1.91166666666667,5.803546853898545
5,1197606,1197605,19.5577572639673,-0.617953812015369,1,362,0.945,1.91166666666667,5.570057689722257
6,1197607,1197606,19.9603051147533,0.358674263135214,1,378,0.965,1.91166666666667,5.7747123193869
7,1197608,1197607,19.8603477811334,-0.0843142554118353,1,370,0.96,1.91166666666667,5.747630730635936
8,1197609,1197608,-16.6620471620485,-2.76241467706715,0,342,0.865,1.9233333333333302,4.703827531297887
9,1197610,1197609,19.7604225646471,0.37606252666390705,1,370,0.955,1.9233333333333302,5.674394389834376
10,1197611,1197610,-17.9598057238384,0.6320430416605289,0,358,0.93,1.9233333333333302,5.502738075749019
11,1197612,1197611,-17.3606643470821,-1.3040596292781699,0,350,0.9,1.9233333333333302,5.106139596778181
12,1197613,1197612,-18.160673375626498,-0.460647023301948,0,358,0.94,1.935,5.574223883136228
13,1197614,1197613,18.9591332678695,-1.67038404162408,1,354,0.915,1.935,5.252258874823418
14,1197615,1197614,18.0578651896503,-0.09708884299231099,1,324,0.87,1.935,4.854751158852142
15,1197616,1197615,-17.460306875704802,-0.45751741363968,0,352,0.905,1.935,5.232496880711671
16,1197617,1197616,-17.758892304559698,1.22263978983276,0,348,0.92,1.9466666666666699,5.402316445156369
17,1197618,1197617,19.2599600757002,1.02376679035666,1,356,0.93,1.9466666666666699,5.406692659582604
18,1197619,1197618,19.959769143790897,-0.347097919556479,1,376,0.965,1.9466666666666699,5.7827463635699905
19,1197620,1197619,-18.1603465107795,0.16878909285836402,0,356,0.94,1.9466666666666699,5.602868870242142
20,1197621,1197620,-18.260163076884602,-0.590716747613168,0,368,0.945,1.9583333333333302,5.609893703349819
21,1197622,1197621,19.4599019363688,0.10571008900761901,1,360,0.94,1.9583333333333302,5.5377776354563135
22,1197623,1197622,18.7569547756627,-0.6017094517423871,1,360,0.905,1.9583333333333302,5.171848500561473
23,1197624,1197623,-17.6599422675178,-0.0914184713048473,0,346,0.915,1.9583333333333302,5.353036174143741
24,1197625,1197624,-18.0596285746367,-0.0580574943164688,0,354,0.935,1.97,5.552643193738293
25,1197626,1197625,19.0592583648649,-0.270232440111279,1,352,0.92,1.97,5.339491057986631
26,1197627,1197626,-17.5599446715004,0.228136291198898,0,338,0.91,1.97,5.303045142147019
27,1197628,1197627,-18.060681791786802,-0.779672224297851,0,360,0.935,1.97,5.494179100690179
28,1197629,1197628,-16.3575226259322,0.38789094972899496,0,318,0.85,1.9816666666666698,4.70394763849456
29,1197630,1197629,18.558608769061802,-1.35557239102639,1,342,0.895,1.9816666666666698,5.052362853364109
